timestamp,light (lux),temperature (deg C),relative humidity (%),humidex,,User Ratings,,Type,Average,Normalized,,Optimal Values,
44748.42333,830.89,24,53,27.32260817,,,,,,,,,
44748.42368,824.98,24,53,27.32260817,,,,,,,,,
44748.42403,739.61,24,53,27.32260817,,,,,,,,,
44748.42438,712.56,24,53,27.32260817,,,,,,,,,
44748.42472,739.61,24,53,27.32260817,,,,,,,,,
44748.42507,784.38,24,53,27.32260817,,,,,,,,,
44748.42542,767.38,24,53,27.32260817,,,,,,,,,
44748.42576,745.11,24,53,27.32260817,,,,,,,,,
44748.42611,734.14,24,53,27.32260817,,,,,,,,,
44748.42646,739.61,24,53,27.32260817,,,,,,,,,
44748.42681,707.24,24,53,27.32260817,,,,,,,,,
44748.42715,701.95,24,53,27.32260817,,,,,,,,,
44748.4275,691.45,24,53,27.32260817,,,,,,,,,
44748.42785,691.45,24,53,27.32260817,,,,,,,,,
44748.42819,670.83,24,54,27.49109731,,,,,,,,,
44748.42854,660.7,24,54,27.49109731,,,,,,,,,
44748.42889,717.91,24,54,27.49109731,,,,,,,,,
44748.42924,761.77,24,54,27.49109731,,,,,,,,,
