timestamp,light (lux),temperature (deg C),relative humidity (%),humidex,,User Ratings,,Type,Average,Normalized,,Optimal Values,
6/30/2022 9:16:28,790.32,24,54,27.49109731,,6,,Light,707.96,7.9204,,500,"https://www.thegreenage.co.uk/lux-much-light-need/#:~:text=500%20lux%20%E2%80%93%20Retail%20spaces%20should,lux%20values%20may%20be%20needed."
6/30/2022 9:16:58,793.21,24,54,27.49109731,,8,,Temp,25,8.5,,23.5,"https://www.ccohs.ca/oshanswers/phys_agents/thermal_comfort.html#:~:text=Recommendations%20provided%20by%20CSA%20Z412,of%2020%2D23.5%C2%B0C"
6/30/2022 9:17:28,711.78,24,54,27.49109731,,7,,Humidity,28.89335813,6.106641868,,25,https://www.ccohs.ca/oshanswers/phys_agents/humidex.html
6/30/2022 9:17:58,716.7,24,54,27.49109731,,8,,,,,,,
6/30/2022 9:18:28,690.97,24,54,27.49109731,,,,Average Rating,7.509013956,,,,
6/30/2022 9:18:58,708.1,24,53,27.32260817,,,,Class Average,7.25,,,,
6/30/2022 9:19:28,722.35,24,53,27.32260817,,,,,,,,,
6/30/2022 9:19:58,727.23,24,53,27.32260817,,,,,,,,,
6/30/2022 9:20:28,719.91,24,53,27.32260817,,,,,,,,,
6/30/2022 9:20:58,687.54,24,53,27.32260817,,,,,,,,,
6/30/2022 9:21:28,668.07,24,53,27.32260817,,,,,,,,,
6/30/2022 9:21:58,692.05,24,53,27.32260817,,,,,,,,,
6/30/2022 9:22:28,698.76,24,53,27.32260817,,,,,,,,,
6/30/2022 9:22:58,677.76,24,54,27.49109731,,,,,,,,,
6/30/2022 9:23:28,696.97,24,54,27.49109731,,,,,,,,,
6/30/2022 9:23:58,713.62,24,54,27.49109731,,,,,,,,,
6/30/2022 9:24:28,715.81,24,54,27.49109731,,,,,,,,,
6/30/2022 9:24:58,705.59,24,54,27.49109731,,,,,,,,,
6/30/2022 9:25:28,717.82,24,54,27.49109731,,,,,,,,,
6/30/2022 9:25:58,699.48,24,54,27.49109731,,,,,,,,,
6/30/2022 9:26:28,711.88,24,54,27.49109731,,,,,,,,,
6/30/2022 9:26:58,703.81,24,53,27.32260817,,,,,,,,,
6/30/2022 9:27:28,689.42,24,53,27.32260817,,,,,,,,,
6/30/2022 9:27:58,697.16,24,53,27.32260817,,,,,,,,,
6/30/2022 9:28:28,703.52,24,53,27.32260817,,,,,,,,,
6/30/2022 9:28:58,685.07,24,53,27.32260817,,,,,,,,,
6/30/2022 9:29:28,689.77,24,53,27.32260817,,,,,,,,,
6/30/2022 9:29:58,706.36,24,53,27.32260817,,,,,,,,,
6/30/2022 9:30:28,701.57,24,53,27.32260817,,,,,,,,,
6/30/2022 9:30:58,685.2,24,53,27.32260817,,,,,,,,,
6/30/2022 9:31:28,684.61,24,53,27.32260817,,,,,,,,,
6/30/2022 9:31:58,700.18,24,52,27.15415721,,,,,,,,,
6/30/2022 9:32:28,684.31,24,51,26.98574476,,,,,,,,,
6/30/2022 9:32:58,683.25,24,51,26.98574476,,,,,,,,,
6/30/2022 9:33:28,691.56,24,51,26.98574476,,,,,,,,,
6/30/2022 9:33:58,737.83,24,52,27.15415721,,,,,,,,,
6/30/2022 9:34:28,742.4,24,52,27.15415721,,,,,,,,,
6/30/2022 9:34:58,689.88,24,52,27.15415721,,,,,,,,,
6/30/2022 9:35:28,668.37,24,52,27.15415721,,,,,,,,,
6/30/2022 9:35:58,685.69,24,52,27.15415721,,,,,,,,,
6/30/2022 9:36:28,693.51,24,53,27.32260817,,,,,,,,,
6/30/2022 9:36:58,719.81,24,53,27.32260817,,,,,,,,,
6/30/2022 9:37:28,732.74,25,53,28.88016255,,,,,,,,,
6/30/2022 9:37:58,727.26,25,54,29.05930184,,,,,,,,,
6/30/2022 9:38:28,725.74,25,54,29.05930184,,,,,,,,,
6/30/2022 9:38:58,717.35,25,54,29.05930184,,,,,,,,,
6/30/2022 9:39:28,714.61,25,54,29.05930184,,,,,,,,,
6/30/2022 9:39:58,712.11,25,54,29.05930184,,,,,,,,,
6/30/2022 9:40:28,696.25,25,54,29.05930184,,,,,,,,,
6/30/2022 9:40:58,690.86,25,54,29.05930184,,,,,,,,,
6/30/2022 9:41:28,669.88,25,53,28.88016255,,,,,,,,,
6/30/2022 9:41:58,655.54,25,53,28.88016255,,,,,,,,,
6/30/2022 9:42:28,653.74,25,53,28.88016255,,,,,,,,,
6/30/2022 9:42:58,689.37,25,53,28.88016255,,,,,,,,,
6/30/2022 9:43:28,698.53,25,53,28.88016255,,,,,,,,,
